product_id,event_type,count(event_type)
5007,cart,7
5007,remove_from_cart,1
5007,view,5
5007,purchase,2
5013,purchase,40
5013,remove_from_cart,52
5013,cart,93
5013,view,97
5020,cart,16
5020,view,41
5020,remove_from_cart,9
5020,purchase,4
5022,remove_from_cart,21
5022,purchase,13
5022,cart,53
5022,view,107
5023,remove_from_cart,8
5023,view,29
5023,cart,11
5023,purchase,3
5024,cart,15
5024,view,100
5024,remove_from_cart,7
5024,purchase,1
5025,cart,3
5025,view,5
5025,remove_from_cart,1
5027,cart,1
5027,purchase,1
5027,view,5
5028,view,9
5028,remove_from_cart,1
5028,cart,4
5028,purchase,2
5031,view,14
5032,view,17
5032,cart,8
5032,purchase,11
5032,remove_from_cart,5
5037,view,3
5037,remove_from_cart,1
5037,cart,2
5041,cart,29
5041,purchase,10
5041,view,54
5041,remove_from_cart,11
5053,view,4
5057,view,11
5057,cart,2
5057,purchase,2
5065,view,1
5067,cart,4
5067,remove_from_cart,5
5067,view,5
5076,view,5
5105,view,6
5119,view,4
5123,view,7
5143,remove_from_cart,10
5143,purchase,10
5143,cart,20
5143,view,58
5148,cart,10
5148,view,17
5148,remove_from_cart,5
5148,purchase,5
5149,view,2
5156,view,5
5157,view,56
5157,cart,24
5157,purchase,17
5157,remove_from_cart,17
5166,cart,5
5166,purchase,3
5166,view,8
5170,purchase,5
5170,view,17
5170,remove_from_cart,6
5170,cart,7
5201,view,14
5201,remove_from_cart,1
5212,remove_from_cart,2
5212,purchase,2
5212,cart,10
5212,view,9
5228,cart,5
5228,view,7
5228,remove_from_cart,6
5228,purchase,4
5240,cart,12
5240,remove_from_cart,3
5240,purchase,6
5240,view,28
5256,view,3
5256,cart,2
5256,purchase,1
5259,cart,5
5259,view,10
5259,purchase,2
5259,remove_from_cart,3
5261,purchase,7
5261,view,15
5261,remove_from_cart,4
5261,cart,6
5265,cart,2
5265,purchase,2
5265,view,40
5265,remove_from_cart,2
5269,view,1
5270,view,2
5275,view,12
5275,remove_from_cart,3
5275,purchase,6
5275,cart,2
5276,remove_from_cart,2
5276,purchase,3
5276,view,8
5276,cart,4
5282,view,2
5288,view,5
5288,cart,3
5288,remove_from_cart,3
5289,cart,2
5289,view,5
5290,purchase,6
5290,remove_from_cart,4
5290,view,54
5290,cart,21
5291,view,5
5292,view,22
5292,purchase,3
5292,cart,11
5292,remove_from_cart,3
5293,view,17
5293,purchase,2
5293,cart,7
5293,remove_from_cart,2
5301,view,4
5302,remove_from_cart,9
5302,purchase,12
5302,view,78
5302,cart,25
5304,view,70
5304,purchase,65
5304,cart,176
5304,remove_from_cart,72
5305,view,10
5305,remove_from_cart,1
5305,cart,2
5308,view,138
5308,cart,45
5308,remove_from_cart,20
5308,purchase,19
5309,view,2
5310,cart,14
5310,purchase,6
5310,remove_from_cart,6
5310,view,110
5312,view,24
